work_id,title,author,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15537792,A blast from the past,/users/IaMcHrIsSi/pseuds/IaMcHrIsSi,Teen And Up Audiences,Gen,Batman - All Media Types,Stephanie Brown & Dick Grayson,"Stephanie Brown, Dick Grayson, Tim Drake","Steph accidentally travels to the past, Robin!Dick is adorable",English,2018-08-02,Completed,2018-08-02,1532,1/1,3,71,3,470,"Steph meets Robin!Dick. She thinks he's adorable, he's confused. A normal day in Gotham."
15537789,The Light That Fades,/users/GummiStories/pseuds/GummiStories,General Audiences,,Detroit: Become Human (Video Game),Hank Anderson & Connor,"Hank Anderson, Connor (Detroit: Become Human), Sumo (Detroit: Become Human)","Father-Son Relationship, Fluff, Fluff and Angst, sumo is best boi, Comfort",English,2018-08-02,Completed,2018-08-02,869,1/1,2,74,5,694,Connor is a deviant... why does he still keep his LED?
15537786,Claim The Win,/users/AltaVega9/pseuds/AltaVega9,Mature,Gen,Harry Potter - J. K. Rowling,,"Harry Potter, Albus Dumbledore, Severus Snape, Minerva McGonagal","Angst, Suicide Attempt, Depression, MadHarry",English,2018-08-02,Completed,2018-08-02,984,1/1,null,1,null,72,"Because you have to take things into your own hands. Harry finally realizes the power he wielded all along.  (Contains material that might trigger, i.e self-harm, suicide etc., so please read with caution / take off your reading list if you are going through a dark patch because this does not end well.) Legilimency/Occlumency."
15537783,A new purpose,/users/AthetaNeothite/pseuds/AthetaNeothite,Explicit,Multi,Original Work,"Female/Male, Alien/Human - Relationship, Male Alien/Female Human",Reader,"Reader-Insert, male reader - Freeform, Female Reader, Transformation, Gender transformation, Non-consensual Transformation, Non-Consensual Gender Transformation, Rape, Collar, Forced, Bound, Plot What Plot/Porn Without Plot, Porn, Sex, Oral Sex, Vaginal Sex, Impregnation, forced impregnation, Implied/Referenced Brainwashing, what has become of me, Not Beta Read",English,2018-08-02,Completed,2018-08-02,1903,1/1,null,33,2,2014,"You're forced to go through with a transformation you did not ask for by an alien, as well as the same alien having its way with your new body parts against your will."
15537750,I'm Sorry,/users/Erin_Riwen/pseuds/Erin_Riwen,Teen And Up Audiences,M/M,Harry Potter - J. K. Rowling,Draco Malfoy/Harry Potter,,"Angst, Ambiguous/Open Ending, Sad",English,2018-08-02,Completed,2018-08-02,429,1/1,2,9,null,262,Harry writes an apology letter
15537720,[Podfic] Mouthy,/users/nyanmobile/pseuds/nyanmobile,Not Rated,Gen,Detroit: Become Human (Video Game),Hank Anderson & Connor,"Connor (Detroit: Become Human), Hank Anderson, Gavin Reed","Friendship, Father-Son Relationship, Fluff, Interspecies Awkwardness, Podfic & Podficced Works, Podfic Length: 10-20 Minutes",English,2018-08-02,Completed,2018-08-02,12,1/1,4,8,null,214,"Podfic of ""Mouthy"" by puppyblue Stop putting the evidence in your fucking mouth, Connor."
15537708,To Love,/users/alittlebugsheadx/pseuds/alittlebugsheadx,Not Rated,F/M,"bughead - Fandom, Riverdale - Fandom",Betty Cooper/Jughead Jones,"Betty Cooper, Jughead Jones","Fluff, Bughead fluff, Tickling",English,2018-08-02,Completed,2018-08-02,1321,1/1,2,25,2,303,"-Verb: to feel strong affection towards, only often hard to describe in words It was Betty’s birthday. She deserved to be given the world but Jughead couldn't exactly afford that. He was anxious all day to give her her present, fearing he would disappoint her, when quite frankly, he does give her the world."
15537702,resolute,/users/Nikiforlove/pseuds/Nikiforlove,General Audiences,M/M,Yuri!!! on Ice (Anime),Katsuki Yuuri/Viktor Nikiforov,"Katsuki Yuuri, Viktor Nikiforov","Cameras, Quad Axel, One Last Time, i got inspired by a figure skating interview",English,2018-08-02,Completed,2018-08-02,670,1/1,5,51,3,365,"Yuuri gripped the conference table, sweat slicking his palms. He always thought of the cameras as a single, all-seeing creature. It’s clicks and snaps always followed his inflection, his every up and down, molding, catering to his every whim, catching him at every moment. Good, bad— the cameras were as much of an unforgiving mistress as the ice. Then again, there was good reason. It had all happened so quick. Cleanly, smoothly, and quick."
15537696,Eat Properly,/users/Nyctolovian/pseuds/Nyctolovian,Teen And Up Audiences,"F/M, Gen",Pu nohiroakademia | Boku no Hero Academia | My Hero Academia,"Bakugou Katsuki & Uraraka Ochako, Bakugou Katsuki/Uraraka Ochako","Bakugou Katsuki, Uraraka Ochako","Bakugou Katsuki Swears A Lot, always bringing my ratings up istg bakugou, Fake/Pretend Relationship, (for the sake of food), Nothing rly romantic but u ould say its pre-relationship, Just Bros, Brotp, Id do the same for food tbh, Uraraka needs to take care of her health, No proofreading, Concerned bakugou, tsundere bakugou, uraraka has him wrapped around her finger",English,2018-08-02,Completed,2018-08-02,1410,1/1,8,71,4,570,Uraraka isn’t taking care of herself and Bakugou steps in with a voucher for the ramen restaurant they’re right in front of. Too bad the voucher is for couples only...
15537690,Jacket Stealer,/users/LillyWritesFanfiction/pseuds/LillyWritesFanfiction,General Audiences,"F/M, Multi",Undertale (Video Game),"Sans (Undertale)/Reader, Sans (Undertale)/Original Female Character(s)","Sans (Undertale), Lil (Self Insert)","Cutesy, Fluff, Comfort, Romance, stealing jackets, Cute, Sweet, Fun, light hearted, Self Ship, Self Insert, The Harem (TM)",English,2018-08-02,Completed,2018-08-02,1863,1/1,null,17,null,170,Lil isn't feeling too great at the Skelebros house alone. So she finds something that might cheer her up a little! (An Old Drabble Reposted)
